State (City),Avg F,Avg C,Precipitation (in.),Precipitation (mm.),Days of snow,Snow (in.),Snow (cm.),Sun (%),Sunlight (hours),Clear Days,AM humidity (%),PM humidity (%)
Alabama (Birmingham),62.8,17.1,58.3,1480,0.8,1.6,4.1,58,2641,99,84,52
Alaska (Anchorage),26.6,-3,22.5,572,48,74.5,189.2,41,2061,61,77,64
Arizona (Tucson),60.3,15.7,13.6,345,0.3,0.3,0.8,85,3806,193,53,25
Arkansas (Fort Smith),60.4,15.8,50.6,1284,3.8,5.2,13.2,61,2771,123,85,49
California (San Diego),59.4,15.2,22.2,563,0,0,0,68,3055,146,76,62
Colorado (Grand Junction),45.1,7.3,15.9,405,19.1,19.1,48.5,71,3204,136,60,35
Connecticut (Hartford),49,9.4,50.3,1279,20.1,40.5,102.9,56,2585,82,79,52
Delaware (Wilmington),55.3,12.9,45.7,1160,11.8,20.2,51.3,-,-,97,79,54
Florida (Tampa),70.7,21.5,54.5,1385,0,0,0,66,2927,101,87,57
Georgia (Macon),63.5,17.5,50.7,1287,0.7,0.7,1.8,66,2986,112,86,50
Hawaii (Honolulu),70,21.1,63.7,1618,0,0,0,71,-,90,71,56
Idaho (Boise),44.4,6.9,18.9,481,19.4,19.2,48.8,64,2993,120,68,41
Illinois (Peoria),51.8,11,39.2,996,19.9,24.6,62.5,56,2567,95,83,58
Indiana (Indianapolis),51.7,10.9,41.7,1060,23.5,25.9,65.8,55,2440,88,83,58
Iowa (Des Moines),47.8,8.8,34,864,26.2,34.9,88.6,59,2691,105,78,56
Kansas (Wichita),54.3,12.4,28.9,733,10,14.7,37.3,65,2922,128,80,50
Kentucky (Louisville),55.6,13.1,48.9,1242,11.8,12.5,31.8,56,2514,93,79,55
Louisiana (New Orleans),66.4,19.1,60.1,1528,0.1,0,0,57,2649,101,87,61
Maine (Portland),41,5,42.2,1072,27.8,61.8,157,57,2513,101,82,61
Maryland (Baltimore),54.2,12.3,44.5,1131,9.6,20.2,51.3,57,2582,105,77,52
Massachusetts (Boston),47.9,8.8,47.7,1211,22.4,43.8,111.3,58,2634,98,75,59
Michigan (Lansing),44.4,6.9,32.8,833,44.7,51.1,129.8,51,2392,71,84,61
Minnesota (Minneapolis),41.2,5.1,27.3,693,37.3,54,137.2,58,2711,95,78,55
Mississippi (Jackson),63.4,17.4,59,1499,0.6,0.9,2.3,61,2720,111,91,54
Missouri (Springfield),54.5,12.5,42.2,1071,11.5,17,43.2,60,2690,115,82,53
Montana (Helena),42.7,5.9,15.3,390,32.9,38.1,96.8,59,2698,82,71,45
Nebraska (Lincoln),48.8,9.3,23.6,599,18.3,25.9,65.8,61,2762,117,82,53
Nevada (Reno),49.9,9.9,9.5,241,16.3,21.8,55.4,79,3646,158,71,32
New Hampshire (Concord),43.8,6.6,43.4,1103,29.8,60.8,154.4,54,2519,90,84,53
New Jersey (Atlantic City),52.7,11.5,47.1,1196,8.7,16.5,41.9,56,2499,94,83,59
New Mexico (Albuquerque),53.4,11.9,14.6,370,9.5,9.6,24.4,76,3415,167,60,29
New York (Syracuse),45.4,7.4,41.8,1062,66.4,123.8,314.5,46,2120,63,82,61
North Carolina (Greensboro),59,15,50.3,1279,3.9,7.6,19.3,60,2651,109,83,52
North Dakota (Bismarck),40.4,4.7,17.8,452,45.2,51.2,130,59,2738,93,80,51
Ohio (Columbus),50.7,10.4,39.1,993,30.4,27.5,69.9,50,2183,72,80,57
Oklahoma (Oklahoma City),59.6,15.3,36.5,927,5.6,7.8,19.8,68,3089,139,79,48
Oregon (Portland),48.4,9.1,27.4,695,2.2,3,7.6,48,2341,68,85,59
Pennsylvania (Harrisburg),48.8,9.3,42.9,1089,19.4,28.2,71.6,58,2614,87,77,54
Rhode Island (Providence),50.1,10.1,47.9,1218,18.7,33.8,85.9,58,2606,98,78,57
South Carolina (Columbia),62.4,16.9,49.8,1264,0.3,0.5,1.3,64,2826,115,86,49
South Dakota (Huron),45.2,7.3,20.1,511,30.1,43.9,111.5,63,2947,104,83,53
Tennessee (Nashville),57.6,14.2,54.2,1376,6.2,6.3,16,56,2510,102,84,53
Texas (Dallas),64.8,18.2,28.9,734,1.3,1.5,3.8,61,2850,135,82,49
Utah (Salt Lake City),48.6,9.2,12.2,310,34.8,56.2,142.7,66,3029,125,67,43
Vermont (Burlington),42.9,6.1,42.7,1085,54.4,81.2,206.2,49,2295,58,77,58
Virginia (Richmond),55.1,12.8,44.3,1125,6.1,10.3,26.2,63,2829,100,84,52
Washington (Seattle),48.3,9.1,38.4,976,3,5,12.7,47,2170,58,83,62
West Virginia (Beckley),51.8,11,45.2,1147,37.7,62,157.5,-,-,60,83,59
Wisconsin (Madison),43.1,6.2,32.6,829,38.7,50.9,129.3,54,2428,89,84,58
Wyoming (Lander),42,5.6,12.9,328,36.7,91.4,232.2,68,3073,114,63,43
